Name,Branche,Ort,PLZ,Fahrtdistanz,,,,,,,
Generis AG,Information and Communication Technology,Schaffhausen,8200,10,,,,,,,
LTB Peter Neukom GmbH,Aerospace,Neunkirch,8213,13,,,,,,,
Rahm aviation consultraining,Aerospace,Schaffhausen,8200,6,,,,,,,
Segelfluggruppe Schmerlat,Aerospace,Neunkirch,8213,13,,,,,,,
WingScout Rudolf Burgstaller (ehem. Beltec Aero GmbH),Transportation & Logistics,Schaffhausen,8200,6,,,,,,,
Ecocell Schweiz AG,Industrial Products & Services,Stein am Rhein,8260,20,,,,,,,
VRMotion AG,Aerospace,Schaffhausen,8200,8,,,,,,,
SSI Schäfer AG (Schäfer Gruppe),Consumer Goods & Retail,Neunkirch,8213,14,,Automobilindustrie,,,,Automotive,
Phoenix Meccano AG & PM Komponenten AG,Industrial Products & Services,Stein am Rhein,8260,20,,Luft- und Raumfahrt,,,,Aerospace,
Unilever Schweiz AG,Consumer Goods & Retail,Thayngen,8240,12,,Biowissenschaften und Gesundheitswesen,,,,Life Science & Health Care,
Unilever Supply Chain Company AG,Information and Communication Technology,Schaffhausen,8200,3,,Industrielle Produkte und Dienstleistungen,,,,Industrial Products & Services,
Tyco Fire & Security GmbH (Johnson Controls Gruppe),Information and Communication Technology,Neuhausen am Rheinfall,8212,7,,Bildung,,,,Education,
Weidmüller Schweiz AG (Weidmüller Gruppe),Industrial Products & Services,Neuhausen am Rheinfall,8212,9,,Zivile Wirtschaft,,,,Civil Economics,
"Antrimon Group AG, ZN SH (Engineering) (Antrimon Gruppe)",Industrial Products & Services,Neuhausen am Rheinfall,8212,7,,Landwirtschaft und Lebensmittel,,,,Agriculture & Food,
"Trapeze Switzerland GmbH (Trapeze Gruppe, Volaris Gruppe)",Transportation & Logistics,Neuhausen am Rheinfall,8212,7,,Transport und Logistik,,,,Transportation & Logistics,
"Trapeze Switzerland GmbH (Trapeze Gruppe, Volaris Gruppe)",Information and Communication Technology,Neuhausen am Rheinfall,8212,7,,Tourismus,,,,Tourism,
"AMoTech GmbH (Trapeze Gruppe, Volaris Gruppe)",Transportation & Logistics,Neuhausen am Rheinfall,8212,7,,Energie und Versorgungsunternehmen,,,,Energy & Utilities,
"AMoTech GmbH (Trapeze Gruppe, Volaris Gruppe)",Information and Communication Technology,Neuhausen am Rheinfall,8212,7,,Konsumgüter und Einzelhandel,,,,Consumer Goods & Retail,
PhotoGnosis GmbH,Transportation & Logistics,Schaffhausen,8200,2,,Informations- und Kommunikationstechnologie,,,,Information and Communication Technology,
"JJ Industrial Solution Schweiz AG, ZN Schaffhausen (Ferrostaal Equipment Solutions Schweiz AG, ZN Schaffhausen (Ferrostaal Gruppe))",Industrial Products & Services,Schaffhausen,8200,4,,,,,,,
Batix Schweiz AG,Information and Communication Technology,Geroldswil,8954,45,,,,,,,
CMD Management Group GmbH,Information and Communication Technology,Wädenswil,8820,66,,,,,,,
AWK Group AG,Information and Communication Technology,Zürich,8050,40,,,,,,,
TE Connectivity Ltd (aus Aufspaltung der Tyco-Gruppe),Transportation & Logistics,Schaffhausen,8200,2,,,,,,,
Curtiss-Wright Antriebstechnik GmbH (Curtiss Wright Gruppe),Industrial Products & Services,Neuhausen am Rheinfall,8212,7,,,,,,,
Savvy Telematic Systems AG,Information and Communication Technology,Schaffhausen,8200,3,,,,,,,
Alstom Schienenfahrzeuge AG (Alstom Gruppe),Transportation & Logistics,Neuhausen am Rheinfall,8212,7,,,,,,,
Faiveley Transport Schwab Ag (Wabtec Gruppe),Transportation & Logistics,Schaffhausen,8207,8,,,,,,,
ViSENSE GmbH,Information and Communication Technology,Schaffhausen,8212,7,,,,,,,
"Garmin (Ltd in SH, Switzerland Distribution GmbH + Switzerland GmbH in NH) (Garmin Gruppe)",Industrial Products & Services,Neuhausen am Rheinfall,8212,7,,,,,,,
