Hochschule,Studiengang,Branche,PLZ,distanz,,,,,,,,,,,
ETH,Biotechnology,Life Science & Healthcare,8092,45,,,,,,,,,,,
ETH,Computational Biology & Bioinformatics,Life Science & Healthcare,8092,45,,,,,,,,,,,
ETH,Informatik,Information and Communication Technology,8092,45,,,,,,,,,,,
ETH,Informatik Reglement,Information and Communication Technology,8092,45,,,,,,,,,,,
ETH,Data Science,Information and Communication Technology,8092,45,,,,,,,,,,,
ETH,Cyber Security,Information and Communication Technology,8092,45,,,,,,,,,,,
ETH,"Robotics, Systems and Control",Information and Communication Technology,8092,45,,,,,,,,,,,
ETH,"Robotics, Systems and Control",Automotive,8092,45,,,,,,,,,,,
ETH,Elektrotechnik und Informationstechnologie,Energy & Utilities,8092,45,,,,,,,,,,,
ETH,Materialwissenschaften,Industrial Products & Services,8092,45,,,,,,,,,,,
ETH,Maschinenbau und Verfahrenstechnik,Industrial Products & Services,8092,45,,,,,,,,,,,
ETH,Biologie,Life Science & Health Care,8092,45,,,,,,,,,,,
ETH,Chemie ,Life Science & Health Care,8092,45,,,,,,,,,,,
ETH,Chemieingenieurwesen,Life Science & Health Care,8092,45,,,,,,,,,,,
ETH,Pharmazeutische Wissenschaften,Life Science & Health Care,8092,45,,,,,,,,,,,
ETH,Interdisziplinäre Naturwissenschaften,Life Science & Health Care,8092,45,,,,,,,,,,,
ETH,Biochemie – Chemische Biologie,Life Science & Health Care,8092,45,,,,,,,,,,,
ETH,Bauingenieur,Industrial Products & Services,8092,45,,,,,,,,,,,
ETH,Bauingenieur,Life Science & Health Care,8092,45,,,,,,,,,,,
ETH,Umweltingenieruwissenschaften,Agriculture & Food,8092,45,,,,,,,,,,,
ETH,Umweltingenieruwissenschaften,Life Science & Health Care,8092,45,,,,,,,,,,,
ETH,Erd- und Klimawissenschaften,Life Science & Health Care,8092,45,,,,,,,,,,,
ETH,Erd- und Klimawissenschaften,Agriculture & Food,8092,45,,,,,,,,,,,
ETH,Integrierte Erdsysteme,Agriculture & Food,8092,45,,,,,,,,,,,
ETH,Atmosphäre und Klima,Agriculture & Food,8092,45,,,,,,,,,,,
ETH,Lebensmittelwissenschaften,Agriculture & Food,8092,45,,,,,,,,,,,
ETH,Gesundheitswissenschaften und Technologie,Agriculture & Food,8092,45,,,,,,,,,,,
ETH,Gesundheitswissenschaften und Technologie,Life Science & Health Care,8092,45,,,,,,,,,,,
ETH,Humanmedizin,Life Science & Health Care,8092,45,,,,,,,,,,,
ETH,Biomedical Engineering,Life Science & Health Care,8092,45,,,,,,,,,,,
ETH,Agrarwissenschaften,Agriculture & Food,8092,45,,,,,,,,,,,
ETH,Umweltnaturwissenschaften,Agriculture & Food,8092,45,,,,,,,,,,,
ETH,"Management, Technology and Economics",Civil Economics,8092,45,,,,,,,,,,,
ZHAW,Angewandte Psychologie,Life Science & Health Care,8005,45,,,,,,,,,,,
ZHAW,Architektur,Industrial Products & Services,8400,30,,,,,,,,,,,
ZHAW,Bauingenieurwesen,Industrial Products & Services,8400,30,,,,,,,,,,,
ZHAW,Ergotherapie,Life Science & Health Care,8400,30,,,,,,,,,,,
ZHAW,Gesundheitsförderung und Prävention,Life Science & Health Care,8400,30,,,,,,,,,,,
ZHAW,Hebamme,Life Science & Health Care,8400,30,,,,,,,,,,,
ZHAW,Pflege,Life Science & Health Care,8400,30,,,,,,,,,,,
ZHAW,Physiotherapie,Life Science & Health Care,8400,30,,,,,,,,,,,
ZHAW,Applied Digital Life Science,Life Science & Health Care,8820,70,,,,,,,,,,,
ZHAW,Biomedizinische Labordiagnostik,Life Science & Health Care,8820,70,,,,,,,,,,,
ZHAW,Biotechnologie,Life Science & Health Care,8820,70,,,,,,,,,,,
ZHAW,Chemie,Life Science & Health Care,8820,70,,,,,,,,,,,
ZHAW,Facility Managment,Life Science & Health Care,8820,70,,,,,,,,,,,
ZHAW,Facility Managment,Industrial Products & Services,8820,70,,,,,,,,,,,
ZHAW,Lebensmitteltechnologien,Life Science & Health Care,8820,70,,,,,,,,,,,
ZHAW,Umweltingenieruwesen,Life Science & Health Care,8820,70,,,,,,,,,,,
ZHAW,Umweltingenieruwesen,Agriculture & Food,8820,70,,,,,,,,,,,
ZHAW,Applied Computational Life Scienes,Life Science & Health Care,8820,70,,,,,,,,,,,
ZHAW,Applied Computational Life Scienes,Information and Communication Technology,8820,70,,,,,,,,,,,
ZHAW,Chemistry for life Sciences,Life Science & Health Care,8820,70,,,,,,,,,,,
ZHAW,Food and Beverage Innovation,Life Science & Health Care,8820,70,,,,,,,,,,,
ZHAW,Food and Beverage Innovation,Agriculture & Food,8820,70,,,,,,,,,,,
ZHAW,Pharmaceutical Biotechnology,Life Science & Health Care,8820,70,,,,,,,,,,,
ZHAW,Preneurship for Regenerative Food Systems,Life Science & Health Care,8820,70,,,,,,,,,,,
ZHAW,Preneurship for Regenerative Food Systems,Agriculture & Food,8820,70,,,,,,,,,,,
ZHAW,Umwelt und natürliche Ressourcen,Agriculture & Food,8820,70,,,,,,,,,,,
ZHAW,Umwelt und natürliche Ressourcen,Life Science & Health Care,8820,70,,,,,,,,,,,
ZHAW,Aviatik,Aerospace,8400,30,,,,,,,,,,,
ZHAW,Data Science,Information and Communication Technology,8400,30,,,,,,,,,,,
ZHAW,Elektrotechnik,Energy & Utilities,8400,30,,,,,,,,,,,
ZHAW,Energie- und Umwelttechnik,Energy & Utilities,8400,30,,,,,,,,,,,
ZHAW,Informatik,Information and Communication Technology,8400,30,,,,,,,,,,,
ZHAW,Maschinentechnik,Industrial Products & Services,8400,30,,,,,,,,,,,
ZHAW,Systemtechnik,Industrial Products & Services,8400,30,,,,,,,,,,,
ZHAW,Verkehrssysteme,Automotive,8400,30,,,,,,,,,,,
ZHAW,Verkehrssysteme,Transportation & Logistics,8400,30,,,,,,,,,,,
ZHAW,"Betriebsökonomie, Accountung, Controlling, Auditing",Civil Economics,8400,30,,,,,,,,,,,
ZHAW,Betriebsökonomie Banking and finance,Civil Economics,8400,30,,,,,,,,,,,
ZHAW,Betriebsökonomie Behaviroal Design,Civil Economics,8400,30,,,,,,,,,,,
ZHAW,Betriebsökonomie Economics and Politics,Civil Economics,8400,30,,,,,,,,,,,
ZHAW,Betriebsökonomie General Managment,Civil Economics,8400,30,,,,,,,,,,,
ZHAW,Betriebsökonomie Marketing,Civil Economics,8400,30,,,,,,,,,,,
ZHAW,Betriebsökonomie Risk and Insurance,Civil Economics,8400,30,,,,,,,,,,,
ZHAW,International Managment,Civil Economics,8400,30,,,,,,,,,,,
ZHAW,Business Administrations- Health Economics and Healthcare,Civil Economics,8400,30,,,,,,,,,,,
ZHAW,Business Administrations- Innovation and Entrepreneurship,Civil Economics,8400,30,,,,,,,,,,,
ZHAW,Business Administrations- Marketing,Civil Economics,8400,30,,,,,,,,,,,
ZHAW,Business Administrations- Public and Nonprofit,Civil Economics,8400,30,,,,,,,,,,,
ZHAW,Management and Law,Civil Economics,8400,30,,,,,,,,,,,
ZHAW,Wirtschaftsrecht,Civil Economics,8400,30,,,,,,,,,,,
ZHAW,Angewandtes Recht,Civil Economics,8400,30,,,,,,,,,,,
ZHAW,Wirtschaftsingenieruwesen,Industrial Products & Services,8400,30,,,,,,,,,,,
ZHAW,Wirtschaftsinfromatik,Information and Communication Technology,8400,30,,,,,,,,,,,
ZHAW,Wirtschaftsinfromatik- Business Information Systems,Information and Communication Technology,8400,30,,,,,,,,,,,
ZHAW,Wirtschaftsinfromatik- Data Science,Information and Communication Technology,8400,30,,,,,,,,,,,
ZHAW,Wirtschaftsingenieruwesen,Civil Economics,8400,30,,,,,,,,,,,
ZHAW,Wirtschaftsinfromatik,Civil Economics,8400,30,,,,,,,,,,,
ZHAW,Wirtschaftsinfromatik- Business Information Systems,Civil Economics,8400,30,,,,,,,,,,,
ZHAW,Wirtschaftsinfromatik- Data Science,Civil Economics,8400,30,,,,,,,,,,,
ZHAW,Soziale Arbeit,Education,8037,40,,,,,,,,,,,
UZH,Ausbildung Lehrpersonen Sekundarstufe 1,Education,8006,45,,,,,,,,,,,
